Ticker,Year,Revenue,Price,MktCap
LITE,2021,1.74,,
LITE,2022,1.71,,
LITE,2023,1.77,,
LITE,2024,1.36,,
LITE,2025,1.65,316,22.42
MU,2021,27.7,,
MU,2022,30.76,,
MU,2023,15.54,,
MU,2024,25.11,,
MU,2025,37.38,232,261.66
PLTR,2021,1.54,,
PLTR,2022,1.91,,
PLTR,2023,2.23,,
PLTR,2024,2.87,,
PLTR,2025,3.9,188,447.49
NVDA,2021,26.91,,
NVDA,2022,26.97,,
NVDA,2023,60.92,,
NVDA,2024,130.5,,
NVDA,2025,187.14,170.94,4150
