Ticker,Company,MaxYear,WindowYears,Score_CYCLE,Rating_CYCLE,Score_SW,Rating_SW,Score_HW,Rating_HW,EBIT/Rev_Avg,EBIT/Rev_Min,FCF/Rev_Avg,FCF/Rev_Min,CapEx/Rev_Avg,SBC/Rev_Avg,Rev_CAGR,MktCap_B_Latest,MC/Rev,MC/FCF,MC/OwnerFCF,PEG_PS_Latest,PEG_OwnerFCF_Latest
NVDA,Nvidia,2025,5,92,A,92,A,89,A,0.467,0.207,0.353,0.141,0.036,0,0.624,4150,22.176,53.673,53.673,0.355,0.710
PLTR,Palantir,2025,5,61,C,48,D,55,D,0.006,-0.266,0.294,0.094,0.009,0.292,0.261,447.490,114.741,249.994,438.716,4.388,
MU,Micron Technology,2025,5,43,D,55,C,47,D,0.109,-0.334,-0.031,-0.394,0.401,0,0.078,261.660,7,156.683,156.683,0.900,
LITE,Lumentum Holdings,2025,5,42,D,50,D,47,D,-0.001,-0.250,0.093,-0.081,0.084,0,-0.013,22.420,13.588,,,,
