Ticker,Date,Price,MarketCap,MarketCap_B
AAPL,2025-12-23,270.9700012207031,4021300494336.0,4021.300494336
AMD,2025-12-23,214.9499969482422,349947527168.0,349.947527168
HOOD,2025-12-23,122.37000274658203,110033739776.0,110.033739776
LITE,2025-12-23,389.8800048828125,27647401984.0,27.647401984
MO,2025-12-23,58.61000061035156,98458411008.0,98.458411008
MSFT,2025-12-23,484.9200134277344,3604491010048.0,3604.491010048
MU,2025-12-23,276.5899963378906,311304585216.0,311.304585216
NVDA,2025-12-23,183.69000244140625,4472300896256.0,4472.300896256
PLTR,2025-12-23,193.97999572753906,462338949120.0,462.33894912
